Tipo,N_M1,M_M1,N_M2,M_M2,P,Repeticao,Tempo_ms
Processos,1000,1000,1000,1000,125000,2,2577.0
Sequencial,1000,1000,1000,1000,125000,3,7967.0
Threads,1000,1000,1000,1000,125000,3,1451.0
Processos,1000,1000,1000,1000,125000,3,2473.0
Sequencial,1000,1000,1000,1000,125000,4,7977.0
Threads,1000,1000,1000,1000,125000,4,1453.0
Processos,1000,1000,1000,1000,125000,4,2680.0
Sequencial,1000,1000,1000,1000,125000,5,8149.0
Threads,1000,1000,1000,1000,125000,5,1454.0
Processos,1000,1000,1000,1000,125000,5,2550.0
Sequencial,1000,1000,1000,1000,125000,6,8246.0
Threads,1000,1000,1000,1000,125000,6,1468.0
Processos,1000,1000,1000,1000,125000,6,2784.0
Sequencial,1000,1000,1000,1000,125000,7,8517.0
Threads,1000,1000,1000,1000,125000,7,1436.0
Processos,1000,1000,1000,1000,125000,7,2617.0
Sequencial,1000,1000,1000,1000,125000,8,8083.0
Threads,1000,1000,1000,1000,125000,8,1463.0
Processos,1000,1000,1000,1000,125000,8,2723.0
Sequencial,1000,1000,1000,1000,125000,9,8384.0
Threads,1000,1000,1000,1000,125000,9,1462.0
Processos,1000,1000,1000,1000,125000,9,2747.0
Sequencial,1000,1000,1000,1000,125000,10,8123.0
Threads,1000,1000,1000,1000,125000,10,1424.0
Processos,1000,1000,1000,1000,125000,10,2532.0
Sequencial,500,500,500,500,15624,1,1015.0
Threads,500,500,500,500,15624,1,171.0
Processos,500,500,500,500,15624,1,369.0
Sequencial,500,500,500,500,15624,2,1021.0
Threads,500,500,500,500,15624,2,194.0
Processos,500,500,500,500,15624,2,362.0
Sequencial,500,500,500,500,15624,3,1027.0
Threads,500,500,500,500,15624,3,199.0
Processos,500,500,500,500,15624,3,372.0
Sequencial,500,500,500,500,15624,4,1013.0
Threads,500,500,500,500,15624,4,198.0
Processos,500,500,500,500,15624,4,377.0
Sequencial,500,500,500,500,15624,5,1013.0
Threads,500,500,500,500,15624,5,216.0
Processos,500,500,500,500,15624,5,373.0
Sequencial,500,500,500,500,15624,6,1019.0
Threads,500,500,500,500,15624,6,183.0
Processos,500,500,500,500,15624,6,355.0
Sequencial,500,500,500,500,15624,7,1018.0
Threads,500,500,500,500,15624,7,174.0
Processos,500,500,500,500,15624,7,373.0
Sequencial,500,500,500,500,15624,8,1026.0
Threads,500,500,500,500,15624,8,173.0
Processos,500,500,500,500,15624,8,371.0
Sequencial,500,500,500,500,15624,9,1060.0
Threads,500,500,500,500,15624,9,169.0
Processos,500,500,500,500,15624,9,342.0
Sequencial,500,500,500,500,15624,10,1025.0
Threads,500,500,500,500,15624,10,177.0
Processos,500,500,500,500,15624,10,353.0
Sequencial,500,500,500,500,23437,1,1022.0
Threads,500,500,500,500,23437,1,172.0
Processos,500,500,500,500,23437,1,380.0
Sequencial,500,500,500,500,23437,2,1071.0
Threads,500,500,500,500,23437,2,174.0
Processos,500,500,500,500,23437,2,401.0
Sequencial,500,500,500,500,23437,3,1023.0
Threads,500,500,500,500,23437,3,174.0
Processos,500,500,500,500,23437,3,401.0
Sequencial,500,500,500,500,23437,4,1019.0
Threads,500,500,500,500,23437,4,136.0
Processos,500,500,500,500,23437,4,424.0
Sequencial,500,500,500,500,23437,5,1038.0
Threads,500,500,500,500,23437,5,176.0
Processos,500,500,500,500,23437,5,412.0
Sequencial,500,500,500,500,23437,6,1033.0
Threads,500,500,500,500,23437,6,176.0
Processos,500,500,500,500,23437,6,416.0
Sequencial,500,500,500,500,23437,7,1019.0
Threads,500,500,500,500,23437,7,170.0
Processos,500,500,500,500,23437,7,421.0
Sequencial,500,500,500,500,23437,8,1031.0
Threads,500,500,500,500,23437,8,173.0
Processos,500,500,500,500,23437,8,404.0
Sequencial,500,500,500,500,23437,9,1029.0
Threads,500,500,500,500,23437,9,159.0
Processos,500,500,500,500,23437,9,422.0
Sequencial,500,500,500,500,23437,10,1037.0
Threads,500,500,500,500,23437,10,146.0
Processos,500,500,500,500,23437,10,408.0
Sequencial,500,500,500,500,31250,1,1025.0
Threads,500,500,500,500,31250,1,178.0
Processos,500,500,500,500,31250,1,397.0
Sequencial,500,500,500,500,31250,2,1026.0
Threads,500,500,500,500,31250,2,181.0
Processos,500,500,500,500,31250,2,382.0
Sequencial,500,500,500,500,31250,3,1014.0
Threads,500,500,500,500,31250,3,179.0
Processos,500,500,500,500,31250,3,429.0
Sequencial,500,500,500,500,31250,4,1017.0
Threads,500,500,500,500,31250,4,180.0
Processos,500,500,500,500,31250,4,400.0
Sequencial,500,500,500,500,31250,5,1031.0
Threads,500,500,500,500,31250,5,189.0
Processos,500,500,500,500,31250,5,437.0
Sequencial,500,500,500,500,31250,6,1013.0
Threads,500,500,500,500,31250,6,178.0
Processos,500,500,500,500,31250,6,371.0
Sequencial,500,500,500,500,31250,7,1012.0
Threads,500,500,500,500,31250,7,179.0
Processos,500,500,500,500,31250,7,450.0
Sequencial,500,500,500,500,31250,8,1039.0
Threads,500,500,500,500,31250,8,179.0
Processos,500,500,500,500,31250,8,439.0
Sequencial,500,500,500,500,31250,9,1016.0
Threads,500,500,500,500,31250,9,180.0
Processos,500,500,500,500,31250,9,388.0
Sequencial,500,500,500,500,31250,10,1029.0
Threads,500,500,500,500,31250,10,180.0
Processos,500,500,500,500,31250,10,427.0
Sequencial,500,500,500,500,50000,1,1020.0
Threads,500,500,500,500,50000,1,170.0
Processos,500,500,500,500,50000,1,604.0
Sequencial,500,500,500,500,50000,2,1029.0
Threads,500,500,500,500,50000,2,167.0
Processos,500,500,500,500,50000,2,581.0
Sequencial,500,500,500,500,50000,3,1024.0
Threads,500,500,500,500,50000,3,171.0
Processos,500,500,500,500,50000,3,442.0
Sequencial,500,500,500,500,50000,4,1020.0
Threads,500,500,500,500,50000,4,168.0
Processos,500,500,500,500,50000,4,606.0
Sequencial,500,500,500,500,50000,5,1028.0
Threads,500,500,500,500,50000,5,164.0
Processos,500,500,500,500,50000,5,618.0
Sequencial,500,500,500,500,50000,6,1049.0
Threads,500,500,500,500,50000,6,166.0
Processos,500,500,500,500,50000,6,572.0
Sequencial,500,500,500,500,50000,7,1014.0
Threads,500,500,500,500,50000,7,165.0
Processos,500,500,500,500,50000,7,616.0
Sequencial,500,500,500,500,50000,8,1022.0
Threads,500,500,500,500,50000,8,167.0
Processos,500,500,500,500,50000,8,614.0
Sequencial,500,500,500,500,50000,9,1005.0
Threads,500,500,500,500,50000,9,167.0
Processos,500,500,500,500,50000,9,605.0
Sequencial,500,500,500,500,50000,10,1014.0
Threads,500,500,500,500,50000,10,166.0
Processos,500,500,500,500,50000,10,582.0
Sequencial,500,500,500,500,68750,1,1024.0
Threads,500,500,500,500,68750,1,232.0
Processos,500,500,500,500,68750,1,598.0
Sequencial,500,500,500,500,68750,2,1011.0
Threads,500,500,500,500,68750,2,232.0
Processos,500,500,500,500,68750,2,627.0
Sequencial,500,500,500,500,68750,3,1018.0
Threads,500,500,500,500,68750,3,232.0
Processos,500,500,500,500,68750,3,589.0
Sequencial,500,500,500,500,68750,4,1023.0
Threads,500,500,500,500,68750,4,233.0
Processos,500,500,500,500,68750,4,591.0
Sequencial,500,500,500,500,68750,5,1015.0
Threads,500,500,500,500,68750,5,229.0
Processos,500,500,500,500,68750,5,577.0
Sequencial,500,500,500,500,68750,6,1018.0
Threads,500,500,500,500,68750,6,232.0
Processos,500,500,500,500,68750,6,635.0
Sequencial,500,500,500,500,68750,7,1019.0
Threads,500,500,500,500,68750,7,235.0
Processos,500,500,500,500,68750,7,633.0
Sequencial,500,500,500,500,68750,8,1026.0
Threads,500,500,500,500,68750,8,232.0
Processos,500,500,500,500,68750,8,598.0
Sequencial,500,500,500,500,68750,9,1019.0
Threads,500,500,500,500,68750,9,226.0
Processos,500,500,500,500,68750,9,600.0
Sequencial,500,500,500,500,68750,10,1013.0
Threads,500,500,500,500,68750,10,235.0
Processos,500,500,500,500,68750,10,627.0
Sequencial,500,500,500,500,87500,1,1023.0
Threads,500,500,500,500,87500,1,289.0
Processos,500,500,500,500,87500,1,768.0
Sequencial,500,500,500,500,87500,2,1016.0
Threads,500,500,500,500,87500,2,284.0
Processos,500,500,500,500,87500,2,762.0
Sequencial,500,500,500,500,87500,3,1014.0
Threads,500,500,500,500,87500,3,290.0
Processos,500,500,500,500,87500,3,787.0
Sequencial,500,500,500,500,87500,4,1028.0
Threads,500,500,500,500,87500,4,290.0
Processos,500,500,500,500,87500,4,777.0
Sequencial,500,500,500,500,87500,5,1011.0
Threads,500,500,500,500,87500,5,306.0
Processos,500,500,500,500,87500,5,763.0
Sequencial,500,500,500,500,87500,6,1047.0
Threads,500,500,500,500,87500,6,283.0
Processos,500,500,500,500,87500,6,767.0
Sequencial,500,500,500,500,87500,7,1016.0
Threads,500,500,500,500,87500,7,285.0
Processos,500,500,500,500,87500,7,781.0
Sequencial,500,500,500,500,87500,8,1013.0
Threads,500,500,500,500,87500,8,281.0
Processos,500,500,500,500,87500,8,755.0
Sequencial,500,500,500,500,87500,9,1034.0
Threads,500,500,500,500,87500,9,291.0
Processos,500,500,500,500,87500,9,789.0
Sequencial,500,500,500,500,87500,10,1014.0
Threads,500,500,500,500,87500,10,289.0
Processos,500,500,500,500,87500,10,773.0
Sequencial,500,500,500,500,106250,1,1039.0
Threads,500,500,500,500,106250,1,354.0
Processos,500,500,500,500,106250,1,935.0
Sequencial,500,500,500,500,106250,2,1014.0
Threads,500,500,500,500,106250,2,353.0
Processos,500,500,500,500,106250,2,941.0
Sequencial,500,500,500,500,106250,3,1018.0
Threads,500,500,500,500,106250,3,347.0
Processos,500,500,500,500,106250,3,914.0
Sequencial,500,500,500,500,106250,4,1020.0
Threads,500,500,500,500,106250,4,355.0
Processos,500,500,500,500,106250,4,922.0
Sequencial,500,500,500,500,106250,5,1020.0
Threads,500,500,500,500,106250,5,364.0
Processos,500,500,500,500,106250,5,941.0
Sequencial,500,500,500,500,106250,6,1027.0
Threads,500,500,500,500,106250,6,352.0
Processos,500,500,500,500,106250,6,944.0
Sequencial,500,500,500,500,106250,7,1013.0
Threads,500,500,500,500,106250,7,352.0
Processos,500,500,500,500,106250,7,925.0
Sequencial,500,500,500,500,106250,8,1020.0
Threads,500,500,500,500,106250,8,357.0
Processos,500,500,500,500,106250,8,953.0
Sequencial,500,500,500,500,106250,9,1048.0
Threads,500,500,500,500,106250,9,349.0
Processos,500,500,500,500,106250,9,943.0
Sequencial,500,500,500,500,106250,10,1021.0
Threads,500,500,500,500,106250,10,350.0
Processos,500,500,500,500,106250,10,925.0
Sequencial,500,500,500,500,125000,1,1014.0
Threads,500,500,500,500,125000,1,397.0
Processos,500,500,500,500,125000,1,1105.0
Sequencial,500,500,500,500,125000,2,1012.0
Threads,500,500,500,500,125000,2,400.0
Processos,500,500,500,500,125000,2,1081.0
Sequencial,500,500,500,500,125000,3,1052.0
Threads,500,500,500,500,125000,3,425.0
Processos,500,500,500,500,125000,3,1098.0
Sequencial,500,500,500,500,125000,4,1034.0
Threads,500,500,500,500,125000,4,401.0
Processos,500,500,500,500,125000,4,1113.0
Sequencial,500,500,500,500,125000,5,1017.0
Threads,500,500,500,500,125000,5,399.0
Processos,500,500,500,500,125000,5,1107.0
Sequencial,500,500,500,500,125000,6,1049.0
Threads,500,500,500,500,125000,6,399.0
Processos,500,500,500,500,125000,6,1168.0
Sequencial,500,500,500,500,125000,7,1007.0
Threads,500,500,500,500,125000,7,397.0
Processos,500,500,500,500,125000,7,1095.0
Sequencial,500,500,500,500,125000,8,1021.0
Threads,500,500,500,500,125000,8,400.0
Processos,500,500,500,500,125000,8,1117.0
Sequencial,500,500,500,500,125000,9,1012.0
Threads,500,500,500,500,125000,9,399.0
Processos,500,500,500,500,125000,9,1129.0
Sequencial,500,500,500,500,125000,10,1017.0
Threads,500,500,500,500,125000,10,408.0
Processos,500,500,500,500,125000,10,1128.0
